College Name,Course,Caste,Gender,Rank Range,Cutoff Marks
GLAND INST OF PHARACEUTICAL SCIENCES,B. PHARMACY (M.P.C. STREAM),General,Male,98005-98007,98007
MADIRA INST OF TECHNOLOGYAND SCI,B. PHARMACY (M.P.C. STREAM),General,Male,98467-98469,98469
G P R COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,98773-98775,98775
BHARAT SCHOOL OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,99729-99731,99731
JANGOAN INSTITUTE OF PHARMACEUTICAL SCIS,B. PHARMACY (M.P.C. STREAM),General,Male,103385-103387,103387
SRI VENKATESWARA COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,107178-107180,107180
KL R PHARMACY COLLEGE,B. PHARMACY (M.P.C. STREAM),General,Male,108130-108132,108132
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),B. PHARMACY (M.P.C. STREAM),General,Male,108800-108802,108802
MALLA REDDY COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,109424-109426,109426
PALAMUR UNIVERSITY,B. PHARMACY (M.P.C. STREAM),General,Male,110406-110408,110408
VIJAYA COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,111329-111331,111331
STMARYS COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,111986-111988,111988
TIRUMALA COLL OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,113141-113143,113143
NALANDA COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,114698-114700,114700
C M R COLL OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,115144-115146,115146
SREE COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,115345-115347,115347
SURABHI DAYAKAR RAO COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,118155-118157,118157
SRI KRUPA INSTITUTE OF PHARMACEUTICAL SCIS,B. PHARMACY (M.P.C. STREAM),General,Male,118712-118714,118714
TEEGALA KRISHNA REDDY COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,119077-119079,119079
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),B. PHARMACY (M.P.C. STREAM),General,Male,120502-120504,120504
J N T U COLLEGE OF ENGINEERING SULTANPUR,B. PHARMACY (M.P.C. STREAM),General,Male,120889-120891,120891
BOJJAM NARASIMHULU PHARM COLL FOR WOMEN,B. PHARMACY (M.P.C. STREAM),General,Male,0-2,2
S N VANITHA PHARMACY MAHA VIDYALAYA,B. PHARMACY (M.P.C. STREAM),General,Male,0-2,2
O U COLLEGE OF ENGG HYDERABAD,BIO-MEDICAL ENGINEERING,General,Male,13562-13564,13564
B V RAJU INSTITUTE OF TECHNOLOGY,BIO-MEDICAL ENGINEERING,General,Male,61044-61046,61046
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BIO-TECHNOLOGY,General,Male,21489-21491,21491
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,BTECH MECHANICAL WITH MTECH MANUFACTURING SYSTEMS,General,Male,14486-14488,14488
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,BTECH MECHANICAL WITH MTECH THERMAL ENGG,General,Male,17615-17617,17617
O U COLLEGE OF TECH HYDERABAD,CHEMICAL ENGINEERING,General,Male,16741-16743,16743
JNTU COLLEGE OF ENGG HYDERABAD,CHEMICAL ENGINEERING,General,Male,17091-17093,17093
B V RAJU INSTITUTE OF TECHNOLOGY,CHEMICAL ENGINEERING,General,Male,29016-29018,29018
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CHEMICAL ENGINEERING,General,Male,30898-30900,30900
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),CHEMICAL ENGINEERING,General,Male,59644-59646,59646
O U COLLEGE OF ENGG HYDERABAD,CIVIL ENGINEERING,General,Male,8854-8856,8856
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,CIVIL ENGINEERING,General,Male,9709-9711,9711
JNTU COLLEGE OF ENGG HYDERABAD,CIVIL ENGINEERING,General,Male,9771-9773,9773
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,12115-12117,12117
VASAVI COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,13930-13932,13932
J N T U COLLEGE OF ENGINEERING SULTANPUR,CIVIL ENGINEERING,General,Male,20083-20085,20085
JNTUH COLLEGE OF ENGG MANTHANI,CIVIL ENGINEERING,General,Male,24315-24317,24317
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,25447-25449,25449
A C E ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,25469-25471,25471
KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,CIVIL ENGINEERING,General,Male,32007-32009,32009
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,32302-32304,32304
M V S R ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,33326-33328,33328
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CIVIL ENGINEERING,General,Male,36502-36504,36504
VARDHAMAN COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,37183-37185,37185
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,37755-37757,37757
JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,CIVIL ENGINEERING,General,Male,42856-42858,42858
JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,44173-44175,44175
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,44291-44293,44293
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,44340-44342,44342
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,44566-44568,44568
AVN INST OF ENGG TECHNOLOGY,CIVIL ENGINEERING,General,Male,45813-45815,45815
GURUNANAK INST OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,47727-47729,47729
INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,47770-47772,47772
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,CIVIL ENGINEERING,General,Male,50849-50851,50851
INSTITUTE OF AERONAUTICAL ENGINEERING,CIVIL ENGINEERING,General,Male,52916-52918,52918
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,CIVIL ENGINEERING,General,Male,53098-53100,53100
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,53210-53212,53212
CVR COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,53914-53916,53916
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,54407-54409,54409
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,56834-56836,56836
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),CIVIL ENGINEERING,General,Male,57052-57054,57054
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),CIVIL ENGINEERING,General,Male,58005-58007,58007
MADHIRA INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,59046-59048,59048
T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,61775-61777,61777
GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,CIVIL ENGINEERING,General,Male,62568-62570,62570
VAAGDEVI COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,63022-63024,63024
VISWESWARAYA COLL OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,64179-64181,64181
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,64635-64637,64637
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,65029-65031,65031
SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,65060-65062,65062
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,65356-65358,65358
SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,65448-65450,65450
ANU BOSE INSTT OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,66972-66974,66974
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,CIVIL ENGINEERING,General,Male,68502-68504,68504
PALLAVI ENGINEERING COLLEGE,CIVIL ENGINEERING,General,Male,71478-71480,71480
NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,71651-71653,71653
ABDULKALAM INST OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,73720-73722,73722
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,80432-80434,80434
SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,82820-82822,82822
SREE CHAITANYA COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,83621-83623,83623
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,CIVIL ENGINEERING,General,Male,83792-83794,83794
MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,84270-84272,84272
NETAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,84346-84348,84348
KASIREDDY NARAYANAREDDY COLL ENGG RES,CIVIL ENGINEERING,General,Male,85200-85202,85202
SRI VENKATESWARA ENGINEERING COLLEGE,CIVIL ENGINEERING,General,Male,85589-85591,85591
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,91040-91042,91042
VAAGESHWARI COLL OF ENGINEERING,CIVIL ENGINEERING,General,Male,94892-94894,94894
SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,96883-96885,96885
VIJAYA RURAL ENGINEERING COLLEGE,CIVIL ENGINEERING,General,Male,97566-97568,97568
KSHATRIYA COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,104686-104688,104688
BALAJI INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,104752-104754,104754
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,CIVIL ENGINEERING,General,Male,105289-105291,105291
SREYAS INST OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,105526-105528,105528
VIVEKANANDA INSTT OF TECH AND SCI BOMMAKAL,CIVIL ENGINEERING,General,Male,108355-108357,108357
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,112773-112775,112775
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),CIVIL ENGINEERING,General,Male,113296-113298,113298
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,CIVIL ENGINEERING,General,Male,114456-114458,114458
ANURAG ENGINEERING COLLGE,CIVIL ENGINEERING,General,Male,114933-114935,114935
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,116160-116162,116162
B V RAJU INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,116182-116184,116184
ANNAMACHARYA INST OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,General,Male,116463-116465,116465
AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,CIVIL ENGINEERING,General,Male,116886-116888,116888
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,CIVIL ENGINEERING,General,Male,117540-117542,117542
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CIVIL ENGINEERING,General,Male,117650-117652,117652
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,CIVIL ENGINEERING,General,Male,117747-117749,117749
KOMMURI PRATAP REDDY INST OF TECHNOLOGY,CIVIL ENGINEERING,General,Male,117753-117755,117755
D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,118453-118455,118455
NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,118466-118468,118468
GLOBAL INST OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,118780-118782,118782
ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,119181-119183,119183
HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),CIVIL ENGINEERING,General,Male,119438-119440,119440
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,119842-119844,119844
SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,CIVIL ENGINEERING,General,Male,120026-120028,120028
SVS GRP OF INSTNS - SVS INST OF TECH,CIVIL ENGINEERING,General,Male,120105-120107,120107
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,General,Male,120315-120317,120317
SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,CIVIL ENGINEERING,General,Male,120407-120409,120409
SRI CHAITANYA TECHNICAL CAMPUS,CIVIL ENGINEERING,General,Male,120448-120450,120450
SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,General,Male,120844-120846,120846
SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),CIVIL ENGINEERING,General,Male,121105-121107,121107
MATRUSRI ENGINEERING COLLEGE,CIVIL ENGINEERING,General,Male,121111-121113,121113
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),CIVIL ENGINEERING,General,Male,121248-121250,121250
KODADA INST OF TECHNOLOGY AND SCIENCE FOR WOMEN,CIVIL ENGINEERING,General,Male,0-2,2
KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,CIVIL ENGINEERING,General,Male,0-2,2
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,CIVIL ENGINEERING,General,Male,0-2,2
PRINCETON INST OF ENGG TECH FOR WOMEN,CIVIL ENGINEERING,General,Male,0-2,2
STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),COMPUTER ENGINEERING,General,Male,0-2,2
BALAJI INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),General,Male,52628-52630,52630
SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),General,Male,83580-83582,83582
HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),COMPUTER ENGINEERING(SOFTWARE ENGINEERING),General,Male,105641-105643,105643
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),General,Male,107878-107880,107880
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE & DESIGN,General,Male,49846-49848,49848
SREE CHAITANYA COLLEGE OF ENGINEERING,COMPUTER SCIENCE & DESIGN,General,Male,72996-72998,72998
CMR TECHNICAL CAMPUS (AUTONOMOUS),COMPUTER SCIENCE & DESIGN,General,Male,80834-80836,80836
ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE & DESIGN,General,Male,103718-103720,103720
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),COMPUTER SCIENCE & DESIGN,General,Male,117643-117645,117645
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER SCIENCE & ENGINEERING (NETWORKS),General,Male,15133-15135,15135
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,COMPUTER SCIENCE & ENGINEERING (NETWORKS),General,Male,43123-43125,43125
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,COMPUTER SCIENCE AND BUSINESS SYSTEM,General,Male,6004-6006,6006
